Time,CH A,
1.62831E-5,6.788E-2,
1.63082E-5,7.88E-3,
1.63332E-5,6.788E-2,
1.63582E-5,7.88E-3,
1.63832E-5,6.788E-2,
1.64082E-5,7.88E-3,
1.64332E-5,6.788E-2,
1.64582E-5,2.788E-2,
1.64832E-5,6.788E-2,
1.65083E-5,2.788E-2,
1.65333E-5,8.788E-2,
1.65583E-5,2.788E-2,
1.65833E-5,1.0788E-1,
1.66083E-5,4.788E-2,
1.66333E-5,8.788E-2,
1.66583E-5,4.788E-2,
1.66833E-5,8.788E-2,
1.67084E-5,4.788E-2,
1.67334E-5,8.788E-2,
1.67584E-5,4.788E-2,
1.67834E-5,1.0788E-1,
1.68084E-5,4.788E-2,
1.68334E-5,1.0788E-1,
1.68584E-5,4.788E-2,
1.68834E-5,1.0788E-1,
1.69085E-5,4.788E-2,
1.69335E-5,1.0788E-1,
1.69585E-5,6.788E-2,
1.69835E-5,1.2788E-1,
1.70085E-5,6.788E-2,
1.70335E-5,1.2788E-1,
1.70585E-5,8.788E-2,
1.70835E-5,1.2788E-1,
1.71086E-5,8.788E-2,
1.71336E-5,1.2788E-1,
1.71586E-5,8.788E-2,
1.71836E-5,1.2788E-1,
1.72086E-5,8.788E-2,
1.72336E-5,1.4788E-1,
1.72586E-5,8.788E-2,
1.72836E-5,1.4788E-1,
1.73087E-5,1.0788E-1,
1.73337E-5,1.6788E-1,
1.73587E-5,1.0788E-1,
1.73837E-5,1.6788E-1,
1.74087E-5,1.2788E-1,
1.74337E-5,1.6788E-1,
1.74587E-5,1.2788E-1,
1.74837E-5,1.8788E-1,
1.75088E-5,1.2788E-1,
1.75338E-5,1.6788E-1,
1.75588E-5,1.4788E-1,
1.75838E-5,1.8788E-1,
1.76088E-5,1.4788E-1,
1.76338E-5,2.0788E-1,
1.76588E-5,1.4788E-1,
1.76838E-5,2.0788E-1,
1.77089E-5,1.6788E-1,
1.77339E-5,2.0788E-1,
1.77589E-5,1.6788E-1,
1.77839E-5,2.2788E-1,
1.78089E-5,1.6788E-1,
1.78339E-5,2.2788E-1,
1.78589E-5,1.6788E-1,
1.78839E-5,2.4788E-1,
1.7909E-5,1.8788E-1,
1.7934E-5,2.4788E-1,
1.7959E-5,1.8788E-1,
1.7984E-5,2.4788E-1,
1.8009E-5,2.0788E-1,
1.8034E-5,2.6788E-1,
1.8059E-5,2.0788E-1,
1.8084E-5,2.6788E-1,
1.81091E-5,2.2788E-1,
1.81341E-5,2.8788E-1,
1.81591E-5,2.4788E-1,
1.81841E-5,2.8788E-1,
1.82091E-5,2.2788E-1,
1.82341E-5,2.8788E-1,
1.82591E-5,2.4788E-1,
1.82841E-5,3.0788E-1,
1.83092E-5,2.6788E-1,
1.83342E-5,3.0788E-1,
1.83592E-5,2.8788E-1,
1.83842E-5,3.2788E-1,
1.84092E-5,2.8788E-1,
1.84342E-5,3.4788E-1,
1.84592E-5,2.8788E-1,
1.84842E-5,3.4788E-1,
1.85093E-5,3.0788E-1,
1.85343E-5,3.4788E-1,
1.85593E-5,3.0788E-1,
1.85843E-5,3.6788E-1,
1.86093E-5,3.2788E-1,
1.86343E-5,3.6788E-1,
1.86593E-5,3.2788E-1,
1.86843E-5,3.8788E-1,
1.87094E-5,3.4788E-1,
1.87344E-5,3.8788E-1,
