[s],CH1[V]
6.23360E-02,-3.595E-01
6.23400E-02,-3.115E-01
6.23440E-02,-2.635E-01
6.23480E-02,-2.075E-01
6.23520E-02,-1.595E-01
6.23560E-02,-1.115E-01
6.23600E-02,-6.352E-02
6.23640E-02,-1.552E-02
6.23680E-02,2.448E-02
6.23720E-02,6.448E-02
6.23760E-02,1.045E-01
6.23800E-02,1.525E-01
6.23840E-02,1.765E-01
6.23880E-02,2.085E-01
6.23920E-02,2.245E-01
6.23960E-02,2.485E-01
6.24000E-02,2.645E-01
6.24040E-02,2.725E-01
6.24080E-02,2.805E-01
6.24120E-02,2.805E-01
6.24160E-02,2.805E-01
6.24200E-02,2.725E-01
6.24240E-02,2.645E-01
6.24280E-02,2.405E-01
6.24320E-02,2.325E-01
6.24360E-02,2.085E-01
6.24400E-02,1.845E-01
6.24440E-02,1.605E-01
6.24480E-02,1.525E-01
6.24520E-02,1.125E-01
6.24560E-02,8.848E-02
6.24600E-02,6.448E-02
6.24640E-02,4.848E-02
6.24680E-02,1.648E-02
6.24720E-02,4.845E-04
6.24760E-02,-1.552E-02
6.24800E-02,-2.352E-02
6.24840E-02,-3.952E-02
6.24880E-02,-4.752E-02
6.24920E-02,-4.752E-02
6.24960E-02,-4.752E-02
6.25000E-02,-3.952E-02
6.25040E-02,-3.152E-02
6.25080E-02,-2.352E-02
6.25120E-02,-1.552E-02
6.25160E-02,4.845E-04
6.25200E-02,8.485E-03
6.25240E-02,1.648E-02
6.25280E-02,2.448E-02
6.25320E-02,4.048E-02
6.25360E-02,6.448E-02
6.25400E-02,4.848E-02
6.25440E-02,6.448E-02
6.25480E-02,5.648E-02
6.25520E-02,7.248E-02
6.25560E-02,6.448E-02
6.25600E-02,5.648E-02
6.25640E-02,4.048E-02
6.25680E-02,4.048E-02
6.25720E-02,2.448E-02
6.25760E-02,2.448E-02
6.25800E-02,8.485E-03
6.25840E-02,4.845E-04
6.25880E-02,-1.552E-02
6.25920E-02,-2.352E-02
6.25960E-02,-1.552E-02
6.26000E-02,-3.152E-02
6.26040E-02,-3.952E-02
6.26080E-02,-3.952E-02
6.26120E-02,-3.152E-02
6.26160E-02,-2.352E-02
6.26200E-02,-2.352E-02
6.26240E-02,-7.515E-03
6.26280E-02,-7.515E-03
6.26320E-02,8.485E-03
6.26360E-02,8.485E-03
6.26400E-02,1.648E-02
6.26440E-02,2.448E-02
6.26480E-02,3.248E-02
6.26520E-02,4.048E-02
6.26560E-02,4.048E-02
6.26600E-02,4.048E-02
6.26640E-02,4.048E-02
6.26680E-02,4.848E-02
6.26720E-02,4.048E-02
6.26760E-02,2.448E-02
6.26800E-02,1.648E-02
6.26840E-02,8.485E-03
6.26880E-02,4.845E-04
6.26920E-02,4.845E-04
6.26960E-02,4.845E-04
6.27000E-02,-7.515E-03
6.27040E-02,4.845E-04
6.27080E-02,-1.552E-02
6.27120E-02,4.845E-04
6.27160E-02,4.845E-04
6.27200E-02,4.845E-04
6.27240E-02,4.845E-04
6.27280E-02,1.648E-02
6.27320E-02,2.448E-02
6.27360E-02,2.448E-02
6.27400E-02,2.448E-02
6.27440E-02,2.448E-02
6.27480E-02,3.248E-02
6.27520E-02,3.248E-02
6.27560E-02,2.448E-02
6.27600E-02,3.248E-02
6.27640E-02,1.648E-02
6.27680E-02,1.648E-02
6.27720E-02,1.648E-02
6.27760E-02,8.485E-03
6.27800E-02,4.845E-04
6.27840E-02,1.648E-02
6.27880E-02,8.485E-03
6.27920E-02,8.485E-03
6.27960E-02,1.648E-02
6.28000E-02,8.485E-03
6.28040E-02,1.648E-02
6.28080E-02,8.485E-03
6.28120E-02,2.448E-02
6.28160E-02,1.648E-02
6.28200E-02,1.648E-02
6.28240E-02,1.648E-02
6.28280E-02,1.648E-02
6.28320E-02,1.648E-02
6.28360E-02,1.648E-02
6.28400E-02,1.648E-02
